,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
0,홍기영내과의원,9,0,0,510m,경기 군포시,10:43:24,2021-08-10
1,현대중앙의원,8,0,0,190m,경기 군포시,10:43:24,2021-08-10
2,금정성심의원,8,0,0,2.2km,경기 군포시,10:43:24,2021-08-10
3,대야미중앙의원,6,0,0,3.3km,경기 군포시 대야1로22번길 3 현대프라자,10:43:24,2021-08-10
4,대야미중앙의원,6,0,2,3.3km,경기 군포시 대야1로22번길 3 현대프라자,10:57:47,2021-08-10
5,대야미중앙의원,5,0,0,3.3km,경기 군포시 대야1로22번길 3 현대프라자,11:01:06,2021-08-10
6,산본제일의원,8,0,0,1.9km,경기 군포시,11:01:16,2021-08-10
7,속조아내과의원,9,0,0,3.4km,경기 안양시 동안구,11:07:32,2021-08-10
8,코앤이비인후과의원,0,6,0,3.2km,경기 안양시 만안구,11:12:48,2021-08-10
9,코앤이비인후과의원,0,1,0,3.2km,경기 안양시 만안구,11:12:53,2021-08-10
10,전소아과의원,5,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,11:16:15,2021-08-10
11,서국원내과의원,0,2,0,3.4km,경기 안양시 동안구 경수대로 564,11:17:37,2021-08-10
12,전소아과의원,4,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,11:28:57,2021-08-10
13,김영우마취통증의학과의원,3,0,0,3.1km,경기 안양시 만안구 안양로 97,11:28:57,2021-08-10
14,하늘빛재활의학병원,11,0,0,3.0km,경기 안양시 동안구,11:46:57,2021-08-10
15,전소아과의원,3,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,11:46:57,2021-08-10
16,홍기영내과의원,8,0,0,510m,경기 군포시,11:54:31,2021-08-10
17,김성근내과의원,5,0,0,510m,경기 군포시 광정로 80,11:54:31,2021-08-10
18,서울굿모닝내과의원,9,2,0,2.2km,경기 군포시,12:03:18,2021-08-10
19,서울굿모닝내과의원,9,0,0,2.2km,경기 군포시,12:03:23,2021-08-10
20,김성근내과의원,4,0,0,510m,경기 군포시 광정로 80,12:06:01,2021-08-10
21,좋은숨김휘정내과의원,6,0,0,600m,경기 군포시,12:08:47,2021-08-10
